"","item1","support"
"2","children=1",0.25
"21","children=2",0.25
"3","children=3",0.25
"4","children=more",0.25
"6","class=priority",0.329166666666667
"7","class=spec_prior",0.312037037037037
"8","finance=convenient",0.5
"9","finance=inconv",0.5
"10","form=complete",0.25
"11","form=completed",0.25
"12","form=foster",0.25
"13","form=incomplete",0.25
"15","health=priority",0.333333333333333
"16","health=recommended",0.333333333333333
"17","housing=convenient",0.333333333333333
"18","housing=critical",0.333333333333333
"19","housing=less_conv",0.333333333333333
"20","parents=great_pret",0.333333333333333
"211","parents=pretentious",0.333333333333333
"22","parents=usual",0.333333333333333
"23","social=nonprob",0.333333333333333
"24","social=problematic",0.333333333333333
"25","social=slightly_prob",0.333333333333333
